Número,Distrito,Barrio ,Calle,Direccion,Nº Finca,Número de Plazas,Longitud,POINT,Latitud
1 a, CENTRO,SOL, CALLE DE ALCALA," CALLE DE ALCALA, 2",2,30,-3.701998,-3.701998  40.4171107,40.4171107
1 b, CENTRO,SOL, CALLE DE ALCALA," CALLE DE ALCALA, 6",6,30,-3.7015636,-3.7015636  40.4172132,40.4172132
2, CENTRO,UNIVERSIDAD, CALLE DE MIGUEL MOYA," CALLE DE MIGUEL MOYA, 1",1,24,-3.7056739,-3.7056739  40.42058,40.42058
3, CHAMBERÍ,ARAPILES, PLAZA DEL CONDE DEL VALLE DE SUCHIL," PLAZA DEL CONDE DEL VALLE DE SUCHIL, 2",2,18,-3.7072122,-3.7072122  40.4303224,40.4303224
4, CENTRO,UNIVERSIDAD, CALLE DE MANUELA MALASAÑA," CALLE DE MANUELA MALASAÑA, 3",3,24,-3.7026739,-3.7026739  40.4285905,40.4285905
5, CENTRO,JUSTICIA, CALLE DE FUENCARRAL," CALLE DE FUENCARRAL, 106",106,27,-3.7020743,-3.7020743  40.428362,40.428362
6, CENTRO,JUSTICIA, CALLE DE HORTALEZA," CALLE DE HORTALEZA, 63",63,24,-3.6984093,-3.6984093  40.4241633,40.4241633
7, CENTRO,JUSTICIA, CALLE DE HORTALEZA," CALLE DE HORTALEZA, 75",75,21,-3.6977399,-3.6977399  40.4252161,40.4252161
8, CHAMBERÍ,ALMAGRO, PLAZA DE ALONSO MARTINEZ," PLAZA DE ALONSO MARTINEZ, 6",6,24,-3.6953067,-3.6953067  40.4277143,40.4277143
9, CENTRO,PALACIO, PLAZA DE SAN MIGUEL," PLAZA DE SAN MIGUEL, 9",9,24,-3.7094093,-3.7094093  40.4156134,40.4156134
10, CENTRO,JUSTICIA, CALLE DEL MARQUES DE LA ENSENADA," CALLE DEL MARQUES DE LA ENSENADA, 16",16,24,-3.6920816,-3.6920816  40.4254027,40.4254027
11, CENTRO,UNIVERSIDAD, CALLE DE SAN ANDRES," CALLE DE SAN ANDRES, 20",20,24,-3.7036192,-3.7036192  40.4270517,40.4270517
12, CENTRO,UNIVERSIDAD, CALLE DE SAN BERNARDO," CALLE DE SAN BERNARDO, 87",87,24,-3.7062202,-3.7062202  40.4285271,40.4285271
13, CENTRO,UNIVERSIDAD, CALLE DEL CONDE DUQUE," CALLE DEL CONDE DUQUE, 22",22,24,-3.7104727,-3.7104727  40.4273652,40.4273652
14, MONCLOA-ARAVACA,ARGÜELLES, CALLE DE VENTURA RODRIGUEZ," CALLE DE VENTURA RODRIGUEZ, 1",1,24,-3.7133768,-3.7133768  40.4259913,40.4259913
15, CENTRO,UNIVERSIDAD, CALLE DEL NORTE," CALLE DEL NORTE, 10",10,21,-3.7073611,-3.7073611  40.4262937,40.4262937
16, CENTRO,UNIVERSIDAD, CALLE DE SAN BERNARDO," CALLE DE SAN BERNARDO, 22",22,21,-3.7074955,-3.7074955  40.4229421,40.4229421
17, CENTRO,UNIVERSIDAD, PLAZA DE CARLOS CAMBRONERO," PLAZA DE CARLOS CAMBRONERO, 2",2,24,-3.7041859,-3.7041859  40.4231675,40.4231675
18, CENTRO,JUSTICIA, PLAZA DE PEDRO ZEROLO," PLAZA DE PEDRO ZEROLO, 1",1,24,-3.6995679,-3.6995679  40.4209206,40.4209206
19, CENTRO,JUSTICIA, CALLE DE PRIM," CALLE DE PRIM, 4",4,24,-3.6953951,-3.6953951  40.4218997,40.4218997
20 a, CENTRO,JUSTICIA, CALLE DE ALCALA," CALLE DE ALCALA, 49",49,24,-3.6952095,-3.6952095  40.4191989,40.4191989
20 b, CENTRO,JUSTICIA, CALLE DE ALCALA," CALLE DE ALCALA, 49",49,6,-3.6952901,-3.6952901  40.4191858,40.4191858
22, CENTRO,SOL, CALLE DE JACOMETREZO," CALLE DE JACOMETREZO, 1",1,24,-3.7064995,-3.7064995  40.4201452,40.4201452
23, CENTRO,PALACIO, PLAZA DE SANTO DOMINGO," PLAZA DE SANTO DOMINGO, S/N",S/N,24,-3.7082901,-3.7082901  40.4202137,40.4202137
24, CENTRO,PALACIO, CALLE DE CARLOS III," CALLE DE CARLOS III, 1",1,24,-3.7105866,-3.7105866  40.417906,40.417906
25 a, CENTRO,SOL, PLAZA DEL CELENQUE," PLAZA DEL CELENQUE, 1",1,24,-3.7059978,-3.7059978  40.4173416,40.4173416
25 b, CENTRO,SOL, PLAZA DEL CELENQUE," PLAZA DEL CELENQUE, 1",1,24,-3.7060243,-3.7060243  40.4172593,40.4172593
26, CENTRO,JUSTICIA, PLAZA DE LAS SALESAS," PLAZA DE LAS SALESAS, 8",8,24,-3.6945421,-3.6945421  40.4238308,40.4238308
27, CENTRO,CORTES, CALLE DE JESUS," CALLE DE JESUS, 6",6,27,-3.6955803,-3.6955803  40.4132831,40.4132831
28, CENTRO,CORTES, CALLE DE ALCALA," CALLE DE ALCALA, 26",26,24,-3.6983662,-3.6983662  40.4180695,40.4180695
29, CENTRO,CORTES, CALLE DEL MARQUES DE CUBAS," CALLE DEL MARQUES DE CUBAS, 25",25,24,-3.6958008,-3.6958008  40.416244,40.416244
30, CENTRO,PALACIO, CALLE DE PAVIA," CALLE DE PAVIA, 6",6,27,-3.7115428,-3.7115428  40.4193355,40.4193355
31, CENTRO,SOL, CALLE MAYOR," CALLE MAYOR, 18",18,27,-3.706625,-3.706625  40.4163446,40.4163446
32, CENTRO,SOL, PLAZA DE LA PROVINCIA," PLAZA DE LA PROVINCIA, 1",1,18,-3.7061355,-3.7061355  40.4148511,40.4148511
33, CENTRO,SOL, CALLE DE LAS CARRETAS," CALLE DE LAS CARRETAS, 3",3,21,-3.7032096,-3.7032096  40.4164757,40.4164757
34, CENTRO,CORTES, PLAZA DE JACINTO BENAVENTE," PLAZA DE JACINTO BENAVENTE, S/N",S/N,24,-3.7035044,-3.7035044  40.4144117,40.4144117
35, CENTRO,PALACIO, PLAZA DEL CORDON," PLAZA DEL CORDON, 1",1,24,-3.7103676,-3.7103676  40.4141792,40.4141792
36, CENTRO,PALACIO, PLAZA DE RAMALES," PLAZA DE RAMALES, 5",5,24,-3.711764,-3.711764  40.4168229,40.4168229
37, CENTRO,PALACIO, PLAZA DE SAN FRANCISCO," PLAZA DE SAN FRANCISCO, 5",5,24,-3.7141234,-3.7141234  40.4108606,40.4108606
38, CENTRO,PALACIO, CARRERA DE SAN FRANCISCO," CARRERA DE SAN FRANCISCO, 1",1,24,-3.7114443,-3.7114443  40.4112961,40.4112961
39, CENTRO,PALACIO, PLAZA DE LA CEBADA," PLAZA DE LA CEBADA, 16",16,27,-3.7090043,-3.7090043  40.4112662,40.4112662
40, CENTRO,EMBAJADORES, CALLE DEL CONDE DE ROMANONES," CALLE DEL CONDE DE ROMANONES, 2",2,24,-3.7047463,-3.7047463  40.4137865,40.4137865
41, CENTRO,EMBAJADORES, CALLE DE ATOCHA," CALLE DE ATOCHA, 56",56,18,-3.6989898,-3.6989898  40.412228,40.412228
42, CENTRO,EMBAJADORES, CALLE DE SANTA ISABEL," CALLE DE SANTA ISABEL, 32",32,24,-3.6982294,-3.6982294  40.4107714,40.4107714
43, CENTRO,EMBAJADORES, CALLE DE LAVAPIES," CALLE DE LAVAPIES, 36",36,24,-3.7025446,-3.7025446  40.4100889,40.4100889
44, CENTRO,EMBAJADORES, CALLE DEL MESON DE PAREDES," CALLE DEL MESON DE PAREDES, 35",35,21,-3.7039138,-3.7039138  40.4098162,40.4098162
45, CENTRO,EMBAJADORES, GLORIETA DE LA PUERTA DE TOLEDO," GLORIETA DE LA PUERTA DE TOLEDO, 1",1,21,-3.7111381,-3.7111381  40.4069486,40.4069486
46, ARGANZUELA,ACACIAS, CALLE DE LA RIBERA DE CURTIDORES," CALLE DE LA RIBERA DE CURTIDORES, 28",28,24,-3.7071178,-3.7071178  40.4054496,40.4054496
47, ARGANZUELA,ACACIAS, GLORIETA DE EMBAJADORES," GLORIETA DE EMBAJADORES, 7 B",7 B,24,-3.702755,-3.702755  40.4046233,40.4046233
48, CENTRO,EMBAJADORES, GLORIETA DE EMBAJADORES," GLORIETA DE EMBAJADORES, 2",2,24,-3.7020997,-3.7020997  40.4054473,40.4054473
49, CENTRO,EMBAJADORES, RONDA DE ATOCHA," RONDA DE ATOCHA, 36",36,24,-3.6992427,-3.6992427  40.4060497,40.4060497
50, CENTRO,EMBAJADORES, CALLE DE SANTA ISABEL," CALLE DE SANTA ISABEL, 57",57,24,-3.69322,-3.69322  40.4083102,40.4083102
51, CENTRO,EMBAJADORES, PLAZA DEL EMPERADOR CARLOS V," PLAZA DEL EMPERADOR CARLOS V, 7",7,27,-3.6935934,-3.6935934  40.4077234,40.4077234
52, CENTRO,CORTES, PLAZA DE SANTA ANA," PLAZA DE SANTA ANA, 9",9,24,-3.7007838,-3.7007838  40.4145181,40.4145181
53, CENTRO,EMBAJADORES, CALLE DE VALENCIA," CALLE DE VALENCIA, 2",2,24,-3.7007295,-3.7007295  40.4082802,40.4082802
54, CENTRO,JUSTICIA, CALLE DE BARCELO," CALLE DE BARCELO, 7",7,21,-3.7003435,-3.7003435  40.4266233,40.4266233
55, CENTRO,UNIVERSIDAD, PLAZA DE SAN ILDEFONSO," PLAZA DE SAN ILDEFONSO, 8",8,24,-3.7019295,-3.7019295  40.4240716,40.4240716
56, CENTRO,SOL, PLAZA DEL CARMEN," PLAZA DEL CARMEN, 1",1,24,-3.7032875,-3.7032875  40.418484,40.418484
57, CENTRO,UNIVERSIDAD, CALLE DE SANTA CRUZ DE MARCENADO," CALLE DE SANTA CRUZ DE MARCENADO, 24",24,24,-3.7128181,-3.7128181  40.4296363,40.4296363
58, CENTRO,JUSTICIA, CALLE DE AUGUSTO FIGUEROA," CALLE DE AUGUSTO FIGUEROA, 33",33,24,-3.6979458,-3.6979458  40.4222601,40.4222601
59, CENTRO,UNIVERSIDAD, CALLE DEL ESPIRITU SANTO," CALLE DEL ESPIRITU SANTO, 30",30,21,-3.7041167,-3.7041167  40.4254802,40.4254802
60, RETIRO,JERÓNIMOS, PLAZA DE LA INDEPENDENCIA," PLAZA DE LA INDEPENDENCIA, 7",7,24,-3.6881994,-3.6881994  40.4194508,40.4194508
61, RETIRO,IBIZA, CALLE DE O'DONNELL," CALLE DE O'DONNELL, 30",30,24,-3.675206,-3.675206  40.4214379,40.4214379
62, RETIRO,IBIZA, CALLE DE O'DONNELL," CALLE DE O'DONNELL, 48",48,24,-3.6724223,-3.6724223  40.4212986,40.4212986
63, RETIRO,IBIZA, CALLE DE IBIZA," CALLE DE IBIZA, 64",64,24,-3.6706508,-3.6706508  40.4178926,40.4178926
65, RETIRO,JERÓNIMOS, CALLE DE ANTONIO MAURA," CALLE DE ANTONIO MAURA, 15",15,24,-3.6893825,-3.6893825  40.4166859,40.4166859
67, CENTRO,CORTES, CALLE DE ALMADEN," CALLE DE ALMADEN, 28",28,24,-3.6931349,-3.6931349  40.410829,40.410829
68, RETIRO,JERÓNIMOS, CALLE DE ESPALTER," CALLE DE ESPALTER, 1",1,21,-3.6911649,-3.6911649  40.412781,40.412781
69, RETIRO,JERÓNIMOS, CALLE DE ALFONSO XII," CALLE DE ALFONSO XII, 54",54,27,-3.6888669,-3.6888669  40.4100609,40.4100609
70, RETIRO,JERÓNIMOS, AVENIDA DE MENENDEZ PELAYO," AVENIDA DE MENENDEZ PELAYO, 63",63,24,-3.6777994,-3.6777994  40.4152203,40.4152203
71, RETIRO,NIÑO JESÚS, CALLE DEL DOCE DE OCTUBRE," CALLE DEL DOCE DE OCTUBRE, 28",28,24,-3.674021,-3.674021  40.4160054,40.4160054
72, RETIRO,NIÑO JESÚS, CALLE DEL DOCTOR ESQUERDO," CALLE DEL DOCTOR ESQUERDO, 62",62,24,-3.669623,-3.669623  40.415721,40.415721
73, RETIRO,ESTRELLA, PLAZA DE LOS ASTROS," PLAZA DE LOS ASTROS, S/N",S/N,24,-3.669099,-3.669099  40.411463,40.411463
74, RETIRO,JERÓNIMOS, AVENIDA DE MENENDEZ PELAYO," AVENIDA DE MENENDEZ PELAYO, S/N",S/N,24,-3.6765768,-3.6765768  40.4117601,40.4117601
75, RETIRO,JERÓNIMOS, AVENIDA DE MENENDEZ PELAYO," AVENIDA DE MENENDEZ PELAYO, S/N",S/N,24,-3.6784149,-3.6784149  40.4083387,40.4083387
76, RETIRO,NIÑO JESÚS, AVENIDA DEL MEDITERRANEO," AVENIDA DEL MEDITERRANEO, 19",19,24,-3.6751544,-3.6751544  40.4072851,40.4072851
77, RETIRO,PACÍFICO, PLAZA DEL CONDE DE CASAL," PLAZA DEL CONDE DE CASAL, 8",8,22,-3.6707742,-3.6707742  40.4063347,40.4063347
78, RETIRO,ADELFAS, CALLE DEL CERRO DE LA PLATA," CALLE DEL CERRO DE LA PLATA, 2",2,24,-3.6745783,-3.6745783  40.4005704,40.4005704
79, RETIRO,PACÍFICO, AVENIDA DE MENENDEZ PELAYO," AVENIDA DE MENENDEZ PELAYO, 38",38,24,-3.6805524,-3.6805524  40.4050482,40.4050482
80 a, ARGANZUELA,ATOCHA, AVENIDA DE LA CIUDAD DE BARCELONA," AVENIDA DE LA CIUDAD DE BARCELONA, S/N",S/N,24,-3.6904816,-3.6904816  40.4074122,40.4074122
80 b, ARGANZUELA,ATOCHA, AVENIDA DE LA CIUDAD DE BARCELONA," AVENIDA DE LA CIUDAD DE BARCELONA, S/N",S/N,27,-3.6907238,-3.6907238  40.407626,40.407626
81, RETIRO,JERÓNIMOS, CALLE DE CLAUDIO MOYANO," CALLE DE CLAUDIO MOYANO, S/N",S/N,24,-3.6919663,-3.6919663  40.4095758,40.4095758
82, RETIRO,ESTRELLA, CALLE DE LA LIRA," CALLE DE LA LIRA, 2",2,24,-3.669683,-3.669683  40.4084793,40.4084793
83, RETIRO,NIÑO JESÚS, CALLE DE PIO BAROJA," CALLE DE PIO BAROJA, 8 B",8 B,24,-3.6745339,-3.6745339  40.4132589,40.4132589
84, RETIRO,ADELFAS, CALLE DEL DOCTOR ESQUERDO," CALLE DEL DOCTOR ESQUERDO, 191",191,24,-3.6726923,-3.6726923  40.4033695,40.4033695
85, RETIRO,JERÓNIMOS, AVENIDA DE MENENDEZ PELAYO," AVENIDA DE MENENDEZ PELAYO, 9",9,27,-3.6799299,-3.6799299  40.4211415,40.4211415
86, CENTRO,CORTES, PASEO DEL PRADO," PASEO DEL PRADO, S/N",S/N,21,-3.6933298,-3.6933298  40.4185779,40.4185779
87, SALAMANCA,RECOLETOS, CALLE DE AYALA," CALLE DE AYALA, 44",44,24,-3.6835631,-3.6835631  40.4276717,40.4276717
88, SALAMANCA,CASTELLANA, CALLE DE VELAZQUEZ," CALLE DE VELAZQUEZ, 73",73,24,-3.6837471,-3.6837471  40.4312077,40.4312077
89, SALAMANCA,GOYA, CALLE DE AYALA," CALLE DE AYALA, 102",102,24,-3.6751716,-3.6751716  40.4272628,40.4272628
90 a, SALAMANCA,RECOLETOS, CALLE DE GOYA," CALLE DE GOYA, 18",18,24,-3.6837297,-3.6837297  40.4250878,40.4250878
90 b, SALAMANCA,RECOLETOS, CALLE DE GOYA," CALLE DE GOYA, 20",20,6,-3.6835613,-3.6835613  40.4250791,40.4250791
91, SALAMANCA,GOYA, CALLE DE HERMOSILLA," CALLE DE HERMOSILLA, 73",73,24,-3.6788203,-3.6788203  40.4261113,40.4261113
92, SALAMANCA,RECOLETOS, CALLE DE CLAUDIO COELLO," CALLE DE CLAUDIO COELLO, 45",45,24,-3.6864821,-3.6864821  40.4262237,40.4262237
93, SALAMANCA,RECOLETOS, CALLE DE GOYA," CALLE DE GOYA, 3",3,24,-3.6894124,-3.6894124  40.4256984,40.4256984
94, SALAMANCA,RECOLETOS, PASEO DE RECOLETOS," PASEO DE RECOLETOS, 22",22,21,-3.6907044,-3.6907044  40.4233686,40.4233686
95, SALAMANCA,RECOLETOS, CALLE DE CLAUDIO COELLO," CALLE DE CLAUDIO COELLO, 19",19,24,-3.6869914,-3.6869914  40.4226634,40.4226634
96, SALAMANCA,RECOLETOS, CALLE DE ALCALA," CALLE DE ALCALA, 111",111,27,-3.6820471,-3.6820471  40.4220516,40.4220516
97, SALAMANCA,GOYA, AVENIDA DE MENENDEZ PELAYO," AVENIDA DE MENENDEZ PELAYO, 1",1,27,-3.6801515,-3.6801515  40.4224846,40.4224846
98, SALAMANCA,GOYA, AVENIDA DE FELIPE II," AVENIDA DE FELIPE II, 5",5,24,-3.6754079,-3.6754079  40.4241911,40.4241911
99, SALAMANCA,GOYA, CALLE DE ALCANTARA," CALLE DE ALCANTARA, 2",2,24,-3.6739638,-3.6739638  40.4261048,40.4261048
100, SALAMANCA,GOYA, CALLE DE GOYA," CALLE DE GOYA, 99",99,24,-3.6738777,-3.6738777  40.4247843,40.4247843
101, SALAMANCA,GOYA, CALLE DE JORGE JUAN," CALLE DE JORGE JUAN, 131",131,24,-3.6694246,-3.6694246  40.4231223,40.4231223
102, SALAMANCA,RECOLETOS, CALLE DE ALCALA," CALLE DE ALCALA, 95",95,24,-3.6840806,-3.6840806  40.4211552,40.4211552
103, SALAMANCA,CASTELLANA, CALLE DE JOSE ORTEGA Y GASSET," CALLE DE JOSE ORTEGA Y GASSET, 4",4,24,-3.6865351,-3.6865351  40.4303733,40.4303733
104, SALAMANCA,RECOLETOS, PASEO DE LA CASTELLANA," PASEO DE LA CASTELLANA, 4",4,21,-3.6895792,-3.6895792  40.4267658,40.4267658
105, SALAMANCA,RECOLETOS, CALLE DE SERRANO," CALLE DE SERRANO, 46",46,24,-3.6874745,-3.6874745  40.4270684,40.4270684
106 a, SALAMANCA,RECOLETOS, CALLE DE SERRANO," CALLE DE SERRANO, 32",32,18,-3.6878868,-3.6878868  40.4248642,40.4248642
106 b, SALAMANCA,RECOLETOS, CALLE DE SERRANO," CALLE DE SERRANO, 34",34,18,-3.6878604,-3.6878604  40.4250085,40.4250085
107, SALAMANCA,RECOLETOS, CALLE DE SERRANO," CALLE DE SERRANO, 8",8,24,-3.6884243,-3.6884243  40.4215952,40.4215952
108, SALAMANCA,GOYA, CALLE DE LAS MARTIRES CONCEPCIONISTAS," CALLE DE LAS MARTIRES CONCEPCIONISTAS, 2",2,27,-3.670653,-3.670653  40.4274425,40.4274425
109, SALAMANCA,CASTELLANA, CALLE DE JOSE ORTEGA Y GASSET," CALLE DE JOSE ORTEGA Y GASSET, 32",32,24,-3.6815253,-3.6815253  40.4301281,40.4301281
110, MONCLOA-ARAVACA,CASA DE CAMPO, PASEO DE MORET," PASEO DE MORET, S/N",S/N,24,-3.7201316,-3.7201316  40.4347654,40.4347654
111 a, CHAMBERÍ,GAZTAMBIDE, CALLE DEL ARCIPRESTE DE HITA," CALLE DEL ARCIPRESTE DE HITA, 8",8,24,-3.7174896,-3.7174896  40.4335742,40.4335742
111 b, CHAMBERÍ,GAZTAMBIDE, CALLE DEL ARCIPRESTE DE HITA," CALLE DEL ARCIPRESTE DE HITA, 12",12,24,-3.7177783,-3.7177783  40.433982,40.433982
112, MONCLOA-ARAVACA,ARGÜELLES, PASEO DE MORET," PASEO DE MORET, 11",11,24,-3.7248727,-3.7248727  40.4326267,40.4326267
113, MONCLOA-ARAVACA,CASA DE CAMPO, PASEO DEL PINTOR ROSALES," PASEO DEL PINTOR ROSALES, 38",38,24,-3.7207145,-3.7207145  40.4277472,40.4277472
114, MONCLOA-ARAVACA,ARGÜELLES, CALLE DE QUINTANA," CALLE DE QUINTANA, 13",13,24,-3.7174151,-3.7174151  40.4278211,40.4278211
115, MONCLOA-ARAVACA,ARGÜELLES, PLAZA DEL MARQUES DE CERRALBO," PLAZA DEL MARQUES DE CERRALBO, S/N",S/N,24,-3.7169626,-3.7169626  40.4253802,40.4253802
116 a, MONCLOA-ARAVACA,ARGÜELLES, PLAZA DE ESPAÑA," PLAZA DE ESPAÑA, S/N",S/N,24,-3.7117588,-3.7117588  40.4240632,40.4240632
116 b, MONCLOA-ARAVACA,ARGÜELLES, PLAZA DE ESPAÑA," PLAZA DE ESPAÑA, S/N",S/N,24,-3.7118457,-3.7118457  40.4241889,40.4241889
117, MONCLOA-ARAVACA,ARGÜELLES, CALLE DE ALTAMIRANO," CALLE DE ALTAMIRANO, 24",24,24,-3.7189152,-3.7189152  40.4309046,40.4309046
118, ARGANZUELA,PALOS DE MOGUER, CALLE DE JUAN MARTIN EL EMPECINADO," CALLE DE JUAN MARTIN EL EMPECINADO, 16",16,24,-3.688135,-3.688135  40.4007959,40.4007959
119, ARGANZUELA,ATOCHA, CALLE DE MENDEZ ALVARO," CALLE DE MENDEZ ALVARO, 7",7,24,-3.6865777,-3.6865777  40.4014567,40.4014567
120, ARGANZUELA,PALOS DE MOGUER, CALLE DE PALOS DE LA FRONTERA," CALLE DE PALOS DE LA FRONTERA, 27",27,24,-3.6947791,-3.6947791  40.4030362,40.4030362
121, ARGANZUELA,PALOS DE MOGUER, PASEO DE SANTA MARIA DE LA CABEZA," PASEO DE SANTA MARIA DE LA CABEZA, 58",58,24,-3.6986046,-3.6986046  40.4018356,40.4018356
122, CHAMBERÍ,ALMAGRO, CALLE DE SANTA ENGRACIA," CALLE DE SANTA ENGRACIA, 16",16,24,-3.6962626,-3.6962626  40.429524,40.429524
123, CHAMBERÍ,GAZTAMBIDE, CALLE DE GUZMAN EL BUENO," CALLE DE GUZMAN EL BUENO, 2",2,24,-3.7134685,-3.7134685  40.4306386,40.4306386
124, CHAMBERÍ,TRAFALGAR, CALLE DE MANUEL SILVELA," CALLE DE MANUEL SILVELA, 18",18,24,-3.6993182,-3.6993182  40.4308173,40.4308173
125, CHAMBERÍ,ALMAGRO, CALLE DE FERNANDEZ DE LA HOZ," CALLE DE FERNANDEZ DE LA HOZ, 29",29,24,-3.6948316,-3.6948316  40.4353128,40.4353128
126, CHAMBERÍ,TRAFALGAR, CALLE DEL GENERAL ALVAREZ DE CASTRO," CALLE DEL GENERAL ALVAREZ DE CASTRO, 4",4,24,-3.7017424,-3.7017424  40.4345672,40.4345672
127, CHAMBERÍ,ARAPILES, CALLE DE FERNANDO EL CATOLICO," CALLE DE FERNANDO EL CATOLICO, 19",19,24,-3.7083987,-3.7083987  40.4339055,40.4339055
128 a, CHAMBERÍ,GAZTAMBIDE, CALLE DE CEA BERMUDEZ," CALLE DE CEA BERMUDEZ, 59",59,24,-3.7155506,-3.7155506  40.4390329,40.4390329
128 b, CHAMBERÍ,GAZTAMBIDE, CALLE DE CEA BERMUDEZ," CALLE DE CEA BERMUDEZ, 59",59,3,-3.7156915,-3.7156915  40.4390391,40.4390391
129, CHAMBERÍ,RÍOS ROSAS, CALLE DE JOSE ABASCAL," CALLE DE JOSE ABASCAL, 33",33,24,-3.6982818,-3.6982818  40.4384684,40.4384684
130, CHAMBERÍ,RÍOS ROSAS, CALLE DE SANTA ENGRACIA," CALLE DE SANTA ENGRACIA, 129",129,20,-3.7017071,-3.7017071  40.4417195,40.4417195
131, CHAMBERÍ,RÍOS ROSAS, CALLE DE BRAVO MURILLO," CALLE DE BRAVO MURILLO, 44",44,24,-3.704022,-3.704022  40.4417543,40.4417543
