Numero,Distrito,wikiDistrito,Barrio,wikiBarrio,Calle,Direccion,N_Finca,Numero_de_Plazas,Ciudad,wikiCiudad,Longitud,Point,Latitud
130,Chamberí,http://www.wikidata.org/entity/Q1763370,Ríos Rosas,http://www.wikidata.org/entity/Q10366270,CALLE_DE_SANTA_ENGRACIA,"CALLE DE SANTA ENGRACIA, 129",129,20,Madrid,http://www.wikidata.org/entity/Q2807,-3.7017071,POINT(-3.7017071  40.4417195),40.4417195
131,Chamberí,http://www.wikidata.org/entity/Q1763370,Ríos Rosas,http://www.wikidata.org/entity/Q10366270,CALLE_DE_BRAVO_MURILLO,"CALLE DE BRAVO MURILLO, 44",44,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.704022,POINT(-3.704022  40.4417543),40.4417543
132,Chamberí,http://www.wikidata.org/entity/Q1763370,Ríos Rosas,http://www.wikidata.org/entity/Q10366270,CALLE_DE_SANTA_ENGRACIA,"CALLE DE SANTA ENGRACIA, 168",168,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.7035911,POINT(-3.7035911  40.4463889),40.4463889
133,Tetuán,http://www.wikidata.org/entity/Q1773540,Cuatro Caminos,http://www.wikidata.org/entity/Q5824684,CALLE_DE_DULCINEA,"CALLE DE DULCINEA, 3",3,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.7000292,POINT(-3.7000292  40.4471673),40.4471673
134,Chamberí,http://www.wikidata.org/entity/Q1763370,Ríos Rosas,http://www.wikidata.org/entity/Q10366270,CALLE_DE_MARIA_DE_GUZMAN,"CALLE DE MARIA DE GUZMAN, 58",58,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6955114,POINT(-3.6955114  40.444027),40.444027
135,Chamberí,http://www.wikidata.org/entity/Q1763370,Ríos Rosas,http://www.wikidata.org/entity/Q10366270,PLAZA_DE_SAN_JUAN_DE_LA_CRUZ,"PLAZA DE SAN JUAN DE LA CRUZ, S/N",S/N,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6928901,POINT(-3.6928901  40.4414845),40.4414845
136,Chamartín,http://www.wikidata.org/entity/Q1766348,El Viso,http://www.wikidata.org/entity/Q4778,PASEO_DE_LA_CASTELLANA,"PASEO DE LA CASTELLANA, 106",106,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6908127,POINT(-3.6908127  40.4452833),40.4452833
137,Chamartín,http://www.wikidata.org/entity/Q1766348,El Viso,http://www.wikidata.org/entity/Q4778,PLAZA_DE_LA_REPUBLICA_ARGENTINA,"PLAZA DE LA REPUBLICA ARGENTINA, 6",6,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6852925,POINT(-3.6852925  40.4454958),40.4454958
138,Chamberí,http://www.wikidata.org/entity/Q1763370,Ríos Rosas,http://www.wikidata.org/entity/Q10366270,PASEO_DE_LA_CASTELLANA,"PASEO DE LA CASTELLANA, 108",108,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6915818,POINT(-3.6915818  40.4456884),40.4456884
139,Chamartín,http://www.wikidata.org/entity/Q1766348,El Viso,http://www.wikidata.org/entity/Q4778,CALLE_DE_JOSE_GUTIERREZ_ABASCAL,"CALLE DE JOSE GUTIERREZ ABASCAL, S/N",S/N,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6904495,POINT(-3.6904495  40.4393558),40.4393558
140a,Chamartín,http://www.wikidata.org/entity/Q1766348,El Viso,http://www.wikidata.org/entity/Q4778,CALLE_DE_VELAZQUEZ,"CALLE DE VELAZQUEZ, 134",134,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6829045,POINT(-3.6829045  40.438628),40.438628
140b,Chamartín,http://www.wikidata.org/entity/Q1766348,El Viso,http://www.wikidata.org/entity/Q4778,CALLE_DE_VELAZQUEZ,"CALLE DE VELAZQUEZ, 134",134,3,Madrid,http://www.wikidata.org/entity/Q2807,-3.6829127,POINT(-3.6829127  40.4385198),40.4385198
141,Chamberí,http://www.wikidata.org/entity/Q1763370,Almagro,http://www.wikidata.org/entity/Q10954432,PASEO_DE_LA_CASTELLANA,"PASEO DE LA CASTELLANA, 43",43,12,Madrid,http://www.wikidata.org/entity/Q2807,-3.6892902,POINT(-3.6892902  40.4354253),40.4354253
142,Salamanca,http://www.wikidata.org/entity/Q1773521,Castellana,http://www.wikidata.org/entity/Q4781,PASEO_DE_LA_CASTELLANA,"PASEO DE LA CASTELLANA, S/N",S/N,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6880402,POINT(-3.6880402  40.4335262),40.4335262
143,Salamanca,http://www.wikidata.org/entity/Q1773521,Lista,http://www.wikidata.org/entity/Q4779,CALLE_DE_DIEGO_DE_LEON,"CALLE DE DIEGO DE LEON, 54",54,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6782355,POINT(-3.6782355  40.434616),40.434616
144,Salamanca,http://www.wikidata.org/entity/Q1773521,Lista,http://www.wikidata.org/entity/Q4779,CALLE_DE_JUAN_BRAVO,"CALLE DE JUAN BRAVO, 50",50,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6754628,POINT(-3.6754628  40.4323192),40.4323192
145,Salamanca,http://www.wikidata.org/entity/Q1773521,Lista,http://www.wikidata.org/entity/Q4779,CALLE_DE_JOSE_ORTEGA_Y_GASSET,"CALLE DE JOSE ORTEGA Y GASSET, 87",87,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.671401,POINT(-3.671401  40.4297717),40.4297717
146,Chamartín,http://www.wikidata.org/entity/Q1766348,El Viso,http://www.wikidata.org/entity/Q4778,CALLE_DE_MARIA_FRANCISCA,"CALLE DE MARIA FRANCISCA, 1",1,18,Madrid,http://www.wikidata.org/entity/Q2807,-3.67879,POINT(-3.67879  40.4442406),40.4442406
147,Chamartín,http://www.wikidata.org/entity/Q1766348,El Viso,http://www.wikidata.org/entity/Q4778,AVENIDA_DEL_DOCTOR_ARCE,"AVENIDA DEL DOCTOR ARCE, 45",45,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6795811,POINT(-3.6795811  40.4483353),40.4483353
148,Chamartín,http://www.wikidata.org/entity/Q1766348,El Viso,http://www.wikidata.org/entity/Q4778,CALLE_DE_SERRANO,"CALLE DE SERRANO, 210",210,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6816993,POINT(-3.6816993  40.4510203),40.4510203
149,Chamartín,http://www.wikidata.org/entity/Q1766348,El Viso,http://www.wikidata.org/entity/Q4778,PASEO_DE_LA_HABANA,"PASEO DE LA HABANA, 42",42,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6878512,POINT(-3.6878512  40.4498448),40.4498448
150,Chamartín,http://www.wikidata.org/entity/Q1766348,El Viso,http://www.wikidata.org/entity/Q4778,PASEO_DE_LA_CASTELLANA,"PASEO DE LA CASTELLANA, S/N",S/N,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.690541,POINT(-3.690541  40.4491125),40.4491125
151,Tetuán,http://www.wikidata.org/entity/Q1773540,Cuatro Caminos,http://www.wikidata.org/entity/Q5824684,CALLE_DE_ORENSE,"CALLE DE ORENSE, 10",10,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6952023,POINT(-3.6952023  40.4488617),40.4488617
152,Tetuán,http://www.wikidata.org/entity/Q1773540,Cuatro Caminos,http://www.wikidata.org/entity/Q5824684,AVENIDA_DEL_GENERAL_PERON,"AVENIDA DEL GENERAL PERON, 4",4,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6989497,POINT(-3.6989497  40.4527163),40.4527163
153,Tetuán,http://www.wikidata.org/entity/Q1773540,Cuatro Caminos,http://www.wikidata.org/entity/Q5824684,AVENIDA_DEL_GENERAL_PERON,"AVENIDA DEL GENERAL PERON, 36",36,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6930894,POINT(-3.6930894  40.45235),40.45235
154,Tetuán,http://www.wikidata.org/entity/Q1773540,Cuatro Caminos,http://www.wikidata.org/entity/Q5824684,CALLE_DE_ORENSE,"CALLE DE ORENSE, 36",36,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6946736,POINT(-3.6946736  40.4547769),40.4547769
155,Tetuán,http://www.wikidata.org/entity/Q1773540,Cuatro Caminos,http://www.wikidata.org/entity/Q5824684,CALLE_DE_SAN_GERMAN,"CALLE DE SAN GERMÁN, 55",55,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.700864,POINT(-3.700864  40.4572863),40.4572863
156,Tetuán,http://www.wikidata.org/entity/Q1773540,Castillejos,http://www.wikidata.org/entity/Q11913212,CALLE_DE_SOR_ANGELA_DE_LA_CRUZ,"CALLE DE SOR ANGELA DE LA CRUZ, 2",2,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6913229,POINT(-3.6913229  40.4592406),40.4592406
157,Chamartín,http://www.wikidata.org/entity/Q1766348,Nueva España,http://www.wikidata.org/entity/Q10338128,PASEO_DE_LA_CASTELLANA,"PASEO DE LA CASTELLANA, S/N",S/N,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6893305,POINT(-3.6893305  40.459282),40.459282
158,Chamartín,http://www.wikidata.org/entity/Q1766348,Hispanoamérica,http://www.wikidata.org/entity/Q3814573,AVENIDA_DE_ALBERTO_ALCOCER,"AVENIDA DE ALBERTO ALCOCER, 22 A",22 A,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6847049,POINT(-3.6847049  40.45862),40.45862
159,Chamartín,http://www.wikidata.org/entity/Q1766348,Hispanoamérica,http://www.wikidata.org/entity/Q3814573,PASEO_DE_LA_HABANA,"PASEO DE LA HABANA, 63",63,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6837348,POINT(-3.6837348  40.4542549),40.4542549
160,Chamartín,http://www.wikidata.org/entity/Q1766348,Hispanoamérica,http://www.wikidata.org/entity/Q3814573,CALLE_DE_COLOMBIA,"CALLE DE COLOMBIA, 7",7,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6766176,POINT(-3.6766176  40.4571995),40.4571995
161a,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Casa de Campo,http://www.wikidata.org/entity/Q16302441,PASEO_DE_LA_FLORIDA,"PASEO DE LA FLORIDA, 8",8,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.7220624,POINT(-3.7220624  40.4221372),40.4221372
161b,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Casa de Campo,http://www.wikidata.org/entity/Q16302441,PASEO_DE_LA_FLORIDA,"PASEO DE LA FLORIDA, 6",6,3,Madrid,http://www.wikidata.org/entity/Q2807,-3.7219659,POINT(-3.7219659  40.4220566),40.4220566
162,Arganzuela,http://www.wikidata.org/entity/Q2000929,Las Acacias,http://www.wikidata.org/entity/Q3319190,PASEO_DE_LOS_OLMOS,"PASEO DE LOS OLMOS, 28",28,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.7107559,POINT(-3.7107559  40.4035176),40.4035176
163,Arganzuela,http://www.wikidata.org/entity/Q2000929,Las Acacias,http://www.wikidata.org/entity/Q3319190,PASEO_DE_LA_ESPERANZA,"PASEO DE LA ESPERANZA, 1",1,21,Madrid,http://www.wikidata.org/entity/Q2807,-3.7064372,POINT(-3.7064372  40.4036349),40.4036349
164,Arganzuela,http://www.wikidata.org/entity/Q2000929,Las Delicias,http://www.wikidata.org/entity/Q3773736,PASEO_DE_LAS_DELICIAS,"PASEO DE LAS DELICIAS, 94",94,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6944851,POINT(-3.6944851  40.3971366),40.3971366
165,Arganzuela,http://www.wikidata.org/entity/Q2000929,La Chopera,http://www.wikidata.org/entity/Q3773750,PASEO_DE_LA_CHOPERA,"PASEO DE LA CHOPERA, 49",49,27,Madrid,http://www.wikidata.org/entity/Q2807,-3.6976134,POINT(-3.6976134  40.3928841),40.3928841
166,Centro,http://www.wikidata.org/entity/Q1763376,Palacio,http://www.wikidata.org/entity/Q2136510,CALLE_DE_SEGOVIA,"CALLE DE SEGOVIA, 21",21,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.7133382,POINT(-3.7133382  40.4139396),40.4139396
167,Arganzuela,http://www.wikidata.org/entity/Q2000929,Imperial,http://www.wikidata.org/entity/Q3773740,CALLE_DE_SEGOVIA,"CALLE DE SEGOVIA, 47 A",47 A,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.7176456,POINT(-3.7176456  40.4137331),40.4137331
168,Arganzuela,http://www.wikidata.org/entity/Q2000929,Palos de Moguer,http://www.wikidata.org/entity/Q521009,PASEO_DE_SANTA_MARIA_DE_LA_CABEZA,"PASEO DE SANTA MARIA DE LA CABEZA, 32",32,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6959159,POINT(-3.6959159  40.4045828),40.4045828
169,Arganzuela,http://www.wikidata.org/entity/Q2000929,Las Acacias,http://www.wikidata.org/entity/Q3319190,CALLE_DE_TOLEDO,"CALLE DE TOLEDO, 181",181,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.713846,POINT(-3.713846  40.401578),40.401578
170,Arganzuela,http://www.wikidata.org/entity/Q2000929,Las Acacias,http://www.wikidata.org/entity/Q3319190,PASEO_DE_LA_ESPERANZA,"PASEO DE LA ESPERANZA, 21",21,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.704403,POINT(-3.704403  40.4011039),40.4011039
171,Arganzuela,http://www.wikidata.org/entity/Q2000929,Las Delicias,http://www.wikidata.org/entity/Q3773736,CALLE_DE_EMBAJADORES,"CALLE DE EMBAJADORES, 97",97,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6984459,POINT(-3.6984459  40.3997626),40.3997626
172,Arganzuela,http://www.wikidata.org/entity/Q2000929,Palos de Moguer,http://www.wikidata.org/entity/Q521009,CALLE_DE_BUSTAMANTE,"CALLE DE BUSTAMANTE, 1",1,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6935448,POINT(-3.6935448  40.4008683),40.4008683
173,Arganzuela,http://www.wikidata.org/entity/Q2000929,Las Acacias,http://www.wikidata.org/entity/Q3319190,PASEO_DE_LA_ESPERANZA,"PASEO DE LA ESPERANZA, 59",59,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.7023615,POINT(-3.7023615  40.3981757),40.3981757
174,Arganzuela,http://www.wikidata.org/entity/Q2000929,Las Acacias,http://www.wikidata.org/entity/Q3319190,PASEO_DE_LAS_YESERIAS,"PASEO DE LAS YESERIAS, 8",8,27,Madrid,http://www.wikidata.org/entity/Q2807,-3.7063771,POINT(-3.7063771  40.397417),40.397417
175,Arganzuela,http://www.wikidata.org/entity/Q2000929,La Chopera,http://www.wikidata.org/entity/Q3773750,CALLE_DE_JAIME_EL_CONQUISTADOR,"CALLE DE JAIME EL CONQUISTADOR, 30",30,21,Madrid,http://www.wikidata.org/entity/Q2807,-3.6983033,POINT(-3.6983033  40.3962687),40.3962687
176,Arganzuela,http://www.wikidata.org/entity/Q2000929,Las Delicias,http://www.wikidata.org/entity/Q3773736,CALLE_DE_ALICANTE,"CALLE DE ALICANTE, 3",3,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6936302,POINT(-3.6936302  40.3942411),40.3942411
177,Arganzuela,http://www.wikidata.org/entity/Q2000929,Las Delicias,http://www.wikidata.org/entity/Q3773736,CALLE_DE_BOLIVAR,"CALLE DE BOLIVAR, 3",3,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.694087,POINT(-3.694087  40.3915019),40.3915019
178,Retiro,http://www.wikidata.org/entity/Q2002296,Pacífico,http://www.wikidata.org/entity/Q3773753,CALLE_DE_LEON_GIL_DE_PALACIO,"CALLE DE LEON GIL DE PALACIO, 1",1,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6788939,POINT(-3.6788939  40.4030242),40.4030242
179,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,San Diego,http://www.wikidata.org/entity/Q11946851,AUTOVIA_M-30,"AUTOVIA M-30, S/N",S/N,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6690602,POINT(-3.6690602  40.3979341),40.3979341
180,Arganzuela,http://www.wikidata.org/entity/Q2000929,Atocha,http://www.wikidata.org/entity/Q3814594,CALLE_DE_LA_RETAMA,"CALLE DE LA RETAMA, 5",5,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6759244,POINT(-3.6759244  40.3941252),40.3941252
181,Retiro,http://www.wikidata.org/entity/Q2002296,Ibiza,http://www.wikidata.org/entity/Q15249910,CALLE_DE_IBIZA,"CALLE DE IBIZA, 18",18,27,Madrid,http://www.wikidata.org/entity/Q2807,-3.67664,POINT(-3.67664  40.4181748),40.4181748
182,Retiro,http://www.wikidata.org/entity/Q2002296,Estrella,http://www.wikidata.org/entity/Q3773738,CALLE_DEL_ALCALDE_SAINZ_DE_BARANDA,"CALLE DEL ALCALDE SAINZ DE BARANDA, 90",90,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6655023,POINT(-3.6655023  40.4187145),40.4187145
183,Salamanca,http://www.wikidata.org/entity/Q1773521,Goya,http://www.wikidata.org/entity/Q3814578,CALLE_DE_HERMOSILLA,"CALLE DE HERMOSILLA, 135",135,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6694506,POINT(-3.6694506  40.4256358),40.4256358
184,Salamanca,http://www.wikidata.org/entity/Q1773521,Fuente del Berro,http://www.wikidata.org/entity/Q3814564,PASEO_DEL_MARQUES_DE_ZAFRA,"PASEO DEL MARQUES DE ZAFRA, 24",24,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6653095,POINT(-3.6653095  40.4260023),40.4260023
185,Salamanca,http://www.wikidata.org/entity/Q1773521,Fuente del Berro,http://www.wikidata.org/entity/Q3814564,GLORIETA_DEL_MARQUES_DE_ZAFRA,"GLORIETA DEL MARQUES DE ZAFRA, 4",4,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.661533,POINT(-3.661533  40.4250682),40.4250682
186,Salamanca,http://www.wikidata.org/entity/Q1773521,Lista,http://www.wikidata.org/entity/Q4779,CALLE_DEL_GENERAL_PARDINAS,"CALLE DEL GENERAL PARDIÑAS, 56",56,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6782783,POINT(-3.6782783  40.429069),40.429069
187,Salamanca,http://www.wikidata.org/entity/Q1773521,Fuente del Berro,http://www.wikidata.org/entity/Q3814564,CALLE_DE_ALEJANDRO_GONZALEZ,"CALLE DE ALEJANDRO GONZALEZ, 1",1,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6638407,POINT(-3.6638407  40.4301353),40.4301353
188,Ciudad Lineal,http://www.wikidata.org/entity/Q1763694,Ventas,http://www.wikidata.org/entity/Q71762,AVENIDA_DE_DAROCA,"AVENIDA DE DAROCA, 2",2,27,Madrid,http://www.wikidata.org/entity/Q2807,-3.6589062,POINT(-3.6589062  40.4311658),40.4311658
189,Ciudad Lineal,http://www.wikidata.org/entity/Q1763694,Concepción,http://www.wikidata.org/entity/Q11915156,CALLE_DE_LA_VIRGEN_DE_LA_ALEGRIA,"CALLE DE LA VIRGEN DE LA ALEGRIA, 18",18,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6555431,POINT(-3.6555431  40.4350206),40.4350206
190,Salamanca,http://www.wikidata.org/entity/Q1773521,Castellana,http://www.wikidata.org/entity/Q4781,CALLE_DE_VELAZQUEZ,"CALLE DE VELAZQUEZ, 91",91,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6834711,POINT(-3.6834711  40.4343761),40.4343761
191,Salamanca,http://www.wikidata.org/entity/Q1773521,La Guindalera,http://www.wikidata.org/entity/Q3814559,CALLE_DE_ALONSO_HEREDIA,"CALLE DE ALONSO HEREDIA, 1",1,18,Madrid,http://www.wikidata.org/entity/Q2807,-3.6740365,POINT(-3.6740365  40.4346168),40.4346168
192,Salamanca,http://www.wikidata.org/entity/Q1773521,La Guindalera,http://www.wikidata.org/entity/Q3814559,AVENIDA_DE_LOS_TOREROS,"AVENIDA DE LOS TOREROS, 3",3,27,Madrid,http://www.wikidata.org/entity/Q2807,-3.6714315,POINT(-3.6714315  40.431855),40.431855
193,Salamanca,http://www.wikidata.org/entity/Q1773521,La Guindalera,http://www.wikidata.org/entity/Q3814559,AVENIDA_DE_LOS_TOREROS,"AVENIDA DE LOS TOREROS, 47",47,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.665644,POINT(-3.665644  40.4325204),40.4325204
194,Salamanca,http://www.wikidata.org/entity/Q1773521,La Guindalera,http://www.wikidata.org/entity/Q3814559,CALLE_DE_FRANCISCO_SILVELA,"CALLE DE FRANCISCO SILVELA, 86",86,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6771947,POINT(-3.6771947  40.4371986),40.4371986
