Numero,Distrito,Barrio,Calle,Direccion,N_Finca,Numero_de_Plazas,Ciudad,Longitud,Point,Latitud
175,ARGANZUELA,CHOPERA,CALLE_DE_JAIME_EL_CONQUISTADOR,"CALLE DE JAIME EL CONQUISTADOR, 30",30,21,Madrid,-3.6983033,POINT(-3.6983033  40.3962687),40.3962687
176,ARGANZUELA,DELICIAS,CALLE_DE_ALICANTE,"CALLE DE ALICANTE, 3",3,24,Madrid,-3.6936302,POINT(-3.6936302  40.3942411),40.3942411
177,ARGANZUELA,DELICIAS,CALLE_DE_BOLIVAR,"CALLE DE BOLIVAR, 3",3,24,Madrid,-3.694087,POINT(-3.694087  40.3915019),40.3915019
178,RETIRO,PACIFICO,CALLE_DE_LEON_GIL_DE_PALACIO,"CALLE DE LEON GIL DE PALACIO, 1",1,24,Madrid,-3.6788939,POINT(-3.6788939  40.4030242),40.4030242
179,PUENTE_DE_VALLECAS,SAN_DIEGO,AUTOVIA_M-30,"AUTOVIA M-30, S/N",S/N,24,Madrid,-3.6690602,POINT(-3.6690602  40.3979341),40.3979341
180,ARGANZUELA,ATOCHA,CALLE_DE_LA_RETAMA,"CALLE DE LA RETAMA, 5",5,24,Madrid,-3.6759244,POINT(-3.6759244  40.3941252),40.3941252
181,RETIRO,IBIZA,CALLE_DE_IBIZA,"CALLE DE IBIZA, 18",18,27,Madrid,-3.67664,POINT(-3.67664  40.4181748),40.4181748
182,RETIRO,ESTRELLA,CALLE_DEL_ALCALDE_SAINZ_DE_BARANDA,"CALLE DEL ALCALDE SAINZ DE BARANDA, 90",90,24,Madrid,-3.6655023,POINT(-3.6655023  40.4187145),40.4187145
183,SALAMANCA,GOYA,CALLE_DE_HERMOSILLA,"CALLE DE HERMOSILLA, 135",135,24,Madrid,-3.6694506,POINT(-3.6694506  40.4256358),40.4256358
184,SALAMANCA,FUENTE_DEL_BERRO,PASEO_DEL_MARQUES_DE_ZAFRA,"PASEO DEL MARQUES DE ZAFRA, 24",24,24,Madrid,-3.6653095,POINT(-3.6653095  40.4260023),40.4260023
185,SALAMANCA,FUENTE_DEL_BERRO,GLORIETA_DEL_MARQUES_DE_ZAFRA,"GLORIETA DEL MARQUES DE ZAFRA, 4",4,24,Madrid,-3.661533,POINT(-3.661533  40.4250682),40.4250682
186,SALAMANCA,LISTA,CALLE_DEL_GENERAL_PARDINAS,"CALLE DEL GENERAL PARDIÑAS, 56",56,24,Madrid,-3.6782783,POINT(-3.6782783  40.429069),40.429069
187,SALAMANCA,FUENTE_DEL_BERRO,CALLE_DE_ALEJANDRO_GONZALEZ,"CALLE DE ALEJANDRO GONZALEZ, 1",1,24,Madrid,-3.6638407,POINT(-3.6638407  40.4301353),40.4301353
188,CIUDAD_LINEAL,VENTAS,AVENIDA_DE_DAROCA,"AVENIDA DE DAROCA, 2",2,27,Madrid,-3.6589062,POINT(-3.6589062  40.4311658),40.4311658
189,CIUDAD_LINEAL,CONCEPCION,CALLE_DE_LA_VIRGEN_DE_LA_ALEGRIA,"CALLE DE LA VIRGEN DE LA ALEGRIA, 18",18,24,Madrid,-3.6555431,POINT(-3.6555431  40.4350206),40.4350206
190,SALAMANCA,CASTELLANA,CALLE_DE_VELAZQUEZ,"CALLE DE VELAZQUEZ, 91",91,24,Madrid,-3.6834711,POINT(-3.6834711  40.4343761),40.4343761
191,SALAMANCA,GUINDALERA,CALLE_DE_ALONSO_HEREDIA,"CALLE DE ALONSO HEREDIA, 1",1,18,Madrid,-3.6740365,POINT(-3.6740365  40.4346168),40.4346168
192,SALAMANCA,GUINDALERA,AVENIDA_DE_LOS_TOREROS,"AVENIDA DE LOS TOREROS, 3",3,27,Madrid,-3.6714315,POINT(-3.6714315  40.431855),40.431855
193,SALAMANCA,GUINDALERA,AVENIDA_DE_LOS_TOREROS,"AVENIDA DE LOS TOREROS, 47",47,24,Madrid,-3.665644,POINT(-3.665644  40.4325204),40.4325204
194,SALAMANCA,GUINDALERA,CALLE_DE_FRANCISCO_SILVELA,"CALLE DE FRANCISCO SILVELA, 86",86,24,Madrid,-3.6771947,POINT(-3.6771947  40.4371986),40.4371986
195,CHAMARTIN,PROSPERIDAD,CALLE_DEL_PADRE_INDALECIO_HERNANDEZ,"CALLE DEL PADRE INDALECIO HERNANDEZ, 1",1,24,Madrid,-3.6754913,POINT(-3.6754913  40.4392483),40.4392483
196,CHAMARTIN,CIUDAD_JARDIN,CALLE_DE_SUERO_DE_QUINONES,"CALLE DE SUERO DE QUIÑONES, 2",2,24,Madrid,-3.6750918,POINT(-3.6750918  40.4440957),40.4440957
197,CHAMARTIN,EL_VISO,AVENIDA_DE_CONCHA_ESPINA,"AVENIDA DE CONCHA ESPINA, S/N",S/N,24,Madrid,-3.6780252,POINT(-3.6780252  40.4515501),40.4515501
198,CHAMBERI,ALMAGRO,GLORIETA_DE_RUBEN_DARIO,"GLORIETA DE RUBEN DARIO, 2",2,24,Madrid,-3.6915713,POINT(-3.6915713  40.4331172),40.4331172
199,CHAMBERI,GAZTAMBIDE,CALLE_DE_FERNANDO_EL_CATOLICO,"CALLE DE FERNANDO EL CATOLICO, 61",61,27,Madrid,-3.7148406,POINT(-3.7148406  40.4343244),40.4343244
200,CHAMBERI,ARAPILES,GLORIETA_DE_QUEVEDO,"GLORIETA DE QUEVEDO, 4",4,24,Madrid,-3.704671,POINT(-3.704671  40.4336617),40.4336617
201,CHAMBERI,RIOS_ROSAS,CALLE_DE_JOSE_ABASCAL,"CALLE DE JOSE ABASCAL, 2",2,24,Madrid,-3.7038161,POINT(-3.7038161  40.4387323),40.4387323
202,CHAMBERI,VALLEHERMOSO,CALLE_DE_SANTANDER,"CALLE DE SANTANDER, S/N",S/N,24,Madrid,-3.7080969,POINT(-3.7080969  40.4411686),40.4411686
203,CHAMBERI,VALLEHERMOSO,CALLE_DEL_GENERAL_AMPUDIA,"CALLE DEL GENERAL AMPUDIA, 2",2,24,Madrid,-3.7144239,POINT(-3.7144239  40.4417547),40.4417547
204,TETUAN,BELLAS_VISTAS,CALLE_DEL_DOCTOR_SANTERO,"CALLE DEL DOCTOR SANTERO, 1",1,24,Madrid,-3.7041702,POINT(-3.7041702  40.4476606),40.4476606
205,TETUAN,BELLAS_VISTAS,CALLE_DE_NAVARRA,"CALLE DE NAVARRA, 1",1,24,Madrid,-3.7033408,POINT(-3.7033408  40.4535024),40.4535024
206,TETUAN,BERRUGUETE,CALLE_DEL_MARQUES_DE_VIANA,"CALLE DEL MARQUES DE VIANA, 5",5,24,Madrid,-3.6990499,POINT(-3.6990499  40.4607994),40.4607994
207,TETUAN,VALDEACEDERAS,CALLE_DE_LAS_AZUCENAS,"CALLE DE LAS AZUCENAS, 1",1,18,Madrid,-3.6973991,POINT(-3.6973991  40.4630291),40.4630291
208,CHAMARTIN,CASTILLA,PASEO_DE_LA_CASTELLANA,"PASEO DE LA CASTELLANA, S/N",S/N,24,Madrid,-3.6886852,POINT(-3.6886852  40.4665125),40.4665125
209,CHAMARTIN,NUEVA_ESPANA,PLAZA_DE_CASTILLA,"PLAZA DE CASTILLA, 9",9,24,Madrid,-3.6887875,POINT(-3.6887875  40.4656872),40.4656872
210,CENTRO,SOL,CALLE_DE_LAS_TRES_CRUCES,"CALLE DE LAS TRES CRUCES, 9",9,27,Madrid,-3.702631,POINT(-3.702631  40.4197538),40.4197538
211,CENTRO,UNIVERSIDAD,CALLE_DEL_DESENGANO,"CALLE DEL DESENGAÑO, 3",3,24,Madrid,-3.7025369,POINT(-3.7025369  40.4206168),40.4206168
212,CARABANCHEL,SAN_ISIDRO,GLORIETA_DEL_MARQUES_DE_VADILLO,"GLORIETA DEL MARQUES DE VADILLO, 9",9,24,Madrid,-3.7165313,POINT(-3.7165313  40.3981605),40.3981605
213,USERA,MOSCARDO,CALLE_DE_ANTONIO_LOPEZ,"CALLE DE ANTONIO LOPEZ, 129",129,24,Madrid,-3.7001575,POINT(-3.7001575  40.3889363),40.3889363
214,CIUDAD_LINEAL,SAN_PASCUAL,CALLE_DE_LA_CONDESA_DE_VENADITO,"CALLE DE LA CONDESA DE VENADITO, 2",2,24,Madrid,-3.6569597,POINT(-3.6569597  40.4434012),40.4434012
215,CIUDAD_LINEAL,PUEBLO_NUEVO,CALLE_DE_GUTIERRE_DE_CETINA,"CALLE DE GUTIERRE DE CETINA, 77",77,24,Madrid,-3.6409697,POINT(-3.6409697  40.4296903),40.4296903
216,LATINA,PUERTA_DEL_ANGEL,PLAZA_DE_LA_PUERTA_DEL_ANGEL,"PLAZA DE LA PUERTA DEL ANGEL, 3",3,24,Madrid,-3.7288948,POINT(-3.7288948  40.4140528),40.4140528
217,FUENCARRAL-EL_PARDO,LA_PAZ,CALLE_DE_PEDRO_RICO,"CALLE DE PEDRO RICO, 4",4,24,Madrid,-3.6891094,POINT(-3.6891094  40.4810028),40.4810028
218,MORATALAZ,MEDIA_LEGUA,CALLE_DEL_CAMINO_DE_LOS_VINATEROS,"CALLE DEL CAMINO DE LOS VINATEROS, 28",28,24,Madrid,-3.6573999,POINT(-3.6573999  40.4105519),40.4105519
219,MORATALAZ,MARROQUINA,CALLE_DEL_CAMINO_DE_LOS_VINATEROS,"CALLE DEL CAMINO DE LOS VINATEROS, 108",108,24,Madrid,-3.6467783,POINT(-3.6467783  40.4083961),40.4083961
220,MORATALAZ,MEDIA_LEGUA,CALLE_DEL_ARROYO_DE_LAS_PILILLAS,"CALLE DEL ARROYO DE LAS PILILLAS, 4",4,24,Madrid,-3.6514264,POINT(-3.6514264  40.4061548),40.4061548
221,MORATALAZ,PAVONES,CALLE_DE_LA_HACIENDA_DE_PAVONES,"CALLE DE LA HACIENDA DE PAVONES, 346",346,24,Madrid,-3.6346859,POINT(-3.6346859  40.4004579),40.4004579
222,USERA,MOSCARDO,CALLE_DE_EUGENIO_CAXES,"CALLE DE EUGENIO CAXES, 5",5,24,Madrid,-3.7026887,POINT(-3.7026887  40.3917816),40.3917816
223,LATINA,CARMENES,PASEO_DE_LA_ERMITA_DEL_SANTO,"PASEO DE LA ERMITA DEL SANTO, 48",48,24,Madrid,-3.7245226,POINT(-3.7245226  40.4064341),40.4064341
224,LATINA,PUERTA_DEL_ANGEL,CALLE_DE_CARAMUEL,"CALLE DE CARAMUEL, 52",52,24,Madrid,-3.7288262,POINT(-3.7288262  40.408882),40.408882
225,PUENTE_DE_VALLECAS,NUMANCIA,CALLE_DE_LA_SIERRA_TOLEDANA,"CALLE DE LA SIERRA TOLEDANA, 33",33,24,Madrid,-3.6601933,POINT(-3.6601933  40.4026388),40.4026388
226,PUENTE_DE_VALLECAS,NUMANCIA,CAMINO_DE_VALDERRIBAS,"CAMINO DE VALDERRIBAS, 94",94,24,Madrid,-3.6606789,POINT(-3.6606789  40.3991986),40.3991986
227,PUENTE_DE_VALLECAS,SAN_DIEGO,CALLE_DEL_ARROYO_DEL_OLIVAR,"CALLE DEL ARROYO DEL OLIVAR, 4",4,24,Madrid,-3.6661421,POINT(-3.6661421  40.3940355),40.3940355
228,CARABANCHEL,COMILLA,CALLE_DE_SAN_DELFIN,"CALLE DE SAN DELFIN, 9",9,24,Madrid,-3.7080437,POINT(-3.7080437  40.3943842),40.3943842
229,CIUDAD_LINEAL,CONCEPCION,CALLE_DE_JOSE_DEL_HIERRO,"CALLE DE JOSE DEL HIERRO, 5",5,24,Madrid,-3.6486507,POINT(-3.6486507  40.4370782),40.4370782
230,CIUDAD_LINEAL,SAN_PASCUAL,CALLE_DE_CARLOTA_ONEILL,"CALLE DE CARLOTA O'NEILL, 32",32,24,Madrid,-3.6491034,POINT(-3.6491034  40.4436986),40.4436986
231,CIUDAD_LINEAL,SAN_PASCUAL,CALLE_DE_LOS_DERECHOS_HUMANOS,"CALLE DE LOS DERECHOS HUMANOS, 14",14,24,Madrid,-3.6558172,POINT(-3.6558172  40.439748),40.439748
232,CIUDAD_LINEAL,VENTAS,CALLE_DE_JOSE_MARIA_PEREDA,"CALLE DE JOSE MARIA PEREDA, 1",1,24,Madrid,-3.6485701,POINT(-3.6485701  40.4328362),40.4328362
233,CIUDAD_LINEAL,VENTAS,AVENIDA_DEL_MARQUES_DE_CORBERA,"AVENIDA DEL MARQUES DE CORBERA, 12",12,24,Madrid,-3.655633,POINT(-3.655633  40.4229144),40.4229144
234,CIUDAD_LINEAL,VENTAS,AVENIDA_DEL_MARQUES_DE_CORBERA,"AVENIDA DEL MARQUES DE CORBERA, 52",52,24,Madrid,-3.651125,POINT(-3.651125  40.426163),40.426163
235,ARGANZUELA,LEGAZPI,CALLE_DEL_SODIO,"CALLE DEL SODIO, 1 B",1 B,24,Madrid,-3.6911834,POINT(-3.6911834  40.3889853),40.3889853
236,ARGANZUELA,IMPERIAL,PASEO_IMPERIAL,"PASEO IMPERIAL, 20",20,24,Madrid,-3.7171449,POINT(-3.7171449  40.4074236),40.4074236
237,TETUAN,BELLAS_VISTAS,CALLE_DE_FRANCISCO_BALSEIRO,"CALLE DE FRANCISCO BALSEIRO, S/N",S/N,24,Madrid,-3.7105146,POINT(-3.7105146  40.451395),40.451395
238,TETUAN,CUATRO_CAMINOS,CALLE_DE_SAN_GERMAN,"CALLE DE SAN GERMÁN, 5",5,24,Madrid,-3.6932474,POINT(-3.6932474  40.4562183),40.4562183
239,TETUAN,BERRUGUETE,CALLE_DE_FRANCOS_RODRIGUEZ,"CALLE DE FRANCOS RODRIGUEZ, 62",62,24,Madrid,-3.7079276,POINT(-3.7079276  40.4567345),40.4567345
240,SALAMANCA,GUINDALERA,AVENIDA_DE_BRASILIA,"AVENIDA DE BRASILIA, 9",9,24,Madrid,-3.6609886,POINT(-3.6609886  40.4367138),40.4367138
241,SALAMANCA,GUINDALERA,AVENIDA_DE_CAMILO_JOSE_CELA,"AVENIDA DE CAMILO JOSE CELA, 23",23,24,Madrid,-3.6677796,POINT(-3.6677796  40.4377568),40.4377568
242,SALAMANCA,GUINDALERA,AVENIDA_DE_BRUSELAS,"AVENIDA DE BRUSELAS, 56",56,24,Madrid,-3.6629058,POINT(-3.6629058  40.4394662),40.4394662
243,SALAMANCA,GUINDALERA,CALLE_DE_CARTAGENA,"CALLE DE CARTAGENA, 38",38,24,Madrid,-3.6700894,POINT(-3.6700894  40.4351648),40.4351648
244,CHAMBERI,VALLEHERMOSO,CALLE_DE_ISAAC_PERAL,"CALLE DE ISAAC PERAL, 44",44,24,Madrid,-3.7175468,POINT(-3.7175468  40.4398513),40.4398513
245,CHAMBERI,ARAPILES,CALLE_DE_GALILEO,"CALLE DE GALILEO, 63",63,24,Madrid,-3.7101726,POINT(-3.7101726  40.4364656),40.4364656
246,CHAMBERI,TRAFALGAR,CALLE_DE_SANTA_ENGRACIA,"CALLE DE SANTA ENGRACIA, 87",87,24,Madrid,-3.699252,POINT(-3.699252  40.436026),40.436026
247,CHAMBERI,RIOS_ROSAS,CALLE_DE_ZURBANO,"CALLE DE ZURBANO, 90",90,24,Madrid,-3.692843,POINT(-3.692843  40.4383672),40.4383672
248,FUENCARRAL-EL_PARDO,LA_PAZ,CALLE_DE_SINESIO_DELGADO,"CALLE DE SINESIO DELGADO, 2",2,24,Madrid,-3.6878414,POINT(-3.6878414  40.4743243),40.4743243
249,CHAMARTIN,CASTILLA,PASEO_DE_LA_CASTELLANA,"PASEO DE LA CASTELLANA, 298",298,24,Madrid,-3.6852959,POINT(-3.6852959  40.4794159),40.4794159
250,CHAMARTIN,EL_VISO,CALLE_DE_SERRANO,"CALLE DE SERRANO, 113 b",113 b,24,Madrid,-3.6861,POINT(-3.6861  40.4408151),40.4408151
251,CHAMARTIN,PROSPERIDAD,CALLE_DE_SANTA_HORTENSIA,"CALLE DE SANTA HORTENSIA, 31",31,24,Madrid,-3.6668532,POINT(-3.6668532  40.444183),40.444183
252,CHAMARTIN,CASTILLA,CALLE_DE_RODRIGUEZ_JAEN,"CALLE DE RODRIGUEZ JAEN, S/N",S/N,24,Madrid,-3.6839094,POINT(-3.6839094  40.4715645),40.4715645
253,CHAMARTIN,HISPANOAMERICA,CALLE_DEL_DOCTOR_FLEMING,"CALLE DEL DOCTOR FLEMING, 7",7,24,Madrid,-3.688443,POINT(-3.688443  40.455606),40.455606
254,CHAMARTIN,NUEVA_ESPANA,AVENIDA_DE_PIO_XII,"AVENIDA DE PIO XII, 3",3,24,Madrid,-3.6765549,POINT(-3.6765549  40.4610436),40.4610436
255,CHAMARTIN,NUEVA_ESPANA,CALLE_DEL_GENERAL_LOPEZ_POZAS,"CALLE DEL GENERAL LOPEZ POZAS, 2",2,24,Madrid,-3.6851815,POINT(-3.6851815  40.4637286),40.4637286
256,MONCLOA-ARAVACA,CIUDAD_UNIVERSITARIA,CALLE_DE_BEATRIZ_DE_BOBADILLA,"CALLE DE BEATRIZ DE BOBADILLA, 2",2,24,Madrid,-3.7138353,POINT(-3.7138353  40.4463599),40.4463599
257,MONCLOA-ARAVACA,CIUDAD_UNIVERSITARIA,AVENIDA_DE_JUAN_DE_HERRERA,"AVENIDA DE JUAN DE HERRERA, 1",1,24,Madrid,-3.73029,POINT(-3.73029  40.438804),40.438804
258,MONCLOA-ARAVACA,CIUDAD_UNIVERSITARIA,AVENIDA_COMPLUTENSE,"AVENIDA COMPLUTENSE, 14",14,24,Madrid,-3.7273004,POINT(-3.7273004  40.449019),40.449019
259,MONCLOA-ARAVACA,CIUDAD_UNIVERSITARIA,PLAZA_DE_RAMON_Y_CAJAL,"PLAZA DE RAMON Y CAJAL, S/N",S/N,24,Madrid,-3.727031,POINT(-3.727031  40.4444176),40.4444176
260,MONCLOA-ARAVACA,CIUDAD_UNIVERSITARIA,CALLE_DE_JOSE_ANTONIO_NOVAIS,"CALLE DE JOSE ANTONIO NOVAIS, S/N",S/N,24,Madrid,-3.7272637,POINT(-3.7272637  40.4482316),40.4482316
261,MONCLOA-ARAVACA,CIUDAD_UNIVERSITARIA,AVENIDA_COMPLUTENSE,"AVENIDA COMPLUTENSE, 7",7,24,Madrid,-3.7292576,POINT(-3.7292576  40.4505032),40.4505032
